Date,Open,High,Low,Close,Volume,OpenInt
2005-08-10,5.9299,5.9982,5.7621,5.8689,83085,0
2005-08-11,5.8839,5.9376,5.8536,5.9299,48395,0
2005-08-12,5.907,5.9681,5.907,5.9527,29311,0
2005-08-15,5.9452,6.0442,5.9452,6.0442,51689,0
2005-08-16,6.0518,6.0518,5.9982,6.0442,52209,0
2005-08-17,6.0518,6.0518,5.907,5.9982,73369,0
2005-08-18,5.9681,5.9982,5.8536,5.8536,46311,0
2005-08-19,5.907,6.0442,5.907,5.9452,19254,0
2005-08-22,5.9376,5.9376,5.7699,5.8154,31046,0
2005-08-23,5.823,5.9376,5.823,5.8384,23417,0
2005-08-24,5.8384,5.8916,5.8078,5.8839,10405,0
2005-08-25,5.8994,5.8994,5.7772,5.8154,20985,0
2005-08-26,5.7621,5.8154,5.7621,5.785,14398,0
2005-08-29,5.8078,5.823,5.6785,5.7164,16132,0
2005-08-30,5.7011,6.0213,5.7011,5.9982,33304,0
2005-08-31,6.0213,6.1661,5.6785,5.7164,44576,0
2005-09-01,5.7164,5.907,5.7164,5.7772,20640,0
2005-09-02,5.823,5.9982,5.823,5.9452,20985,0
2005-09-06,5.9452,5.9452,5.8307,5.8994,23937,0
2005-09-07,5.9376,6.0442,5.8765,6.0213,17171,0
2005-09-08,5.9982,6.0136,5.9145,5.983,24108,0
2005-09-09,6.0213,6.0824,5.9755,6.0668,13701,0
2005-09-12,6.0288,6.1128,6.0288,6.0593,13875,0
2005-09-13,5.9299,5.9376,5.7925,5.7925,14398,0
2005-09-14,5.7925,5.8307,5.6935,5.7393,31046,0
2005-09-15,5.7241,5.7241,5.686,5.686,10405,0
2005-09-16,5.6935,5.6935,5.6249,5.6631,12835,0
2005-09-19,5.6478,5.6478,5.5334,5.5715,12141,0
2005-09-20,5.5944,5.6325,5.5486,5.6096,7632,0
2005-09-21,5.6401,5.6401,5.5334,5.5486,10231,0
2005-09-22,5.5641,5.5868,5.4803,5.4953,11271,0
2005-09-23,5.4953,5.5031,5.4192,5.4803,11623,0
2005-09-26,5.4803,5.4803,5.221,5.2438,61577,0
2005-09-27,5.221,5.4192,5.221,5.3582,37120,0
2005-09-28,5.3582,5.4116,5.3429,5.4116,14049,0
2005-09-29,5.4345,5.4953,5.3582,5.4953,16480,0
2005-09-30,5.4803,5.5107,5.3048,5.4725,22374,0
2005-10-03,5.4877,5.4877,5.3048,5.4039,17171,0
2005-10-04,5.3277,5.381,5.3048,5.3734,54634,0
2005-10-05,5.3429,5.3429,5.3048,5.3048,8672,0
2005-10-06,5.3582,5.3582,5.3048,5.3353,11796,0
2005-10-07,5.3582,5.381,5.3429,5.381,15781,0
2005-10-10,5.3582,5.4039,5.3582,5.3658,4683,0
2005-10-11,5.4192,5.4192,5.4116,5.4192,25496,0
2005-10-12,5.4192,5.4192,5.3582,5.3582,4683,0
2005-10-13,5.3353,5.3884,5.3124,5.3124,6765,0
2005-10-14,5.3658,5.381,5.2515,5.259,18557,0
2005-10-17,5.3353,5.3353,5.282,5.2896,14222,0
2005-10-18,5.381,5.4192,5.3353,5.3582,4338,0
2005-10-19,5.4192,5.4192,5.3884,5.3963,5892,0
2005-10-20,5.4496,5.4725,5.3582,5.4192,3991,0
2005-10-21,5.4803,5.4803,5.4116,5.4116,5028,0
2005-10-24,5.3582,5.4496,5.3582,5.4496,3991,0
2005-10-25,5.4192,5.4648,5.4192,5.4419,869,0
2005-10-26,5.4496,5.4803,5.3963,5.4725,7457,0
2005-10-27,5.4725,5.4725,5.2515,5.3353,10056,0
2005-10-28,5.3048,5.3048,5.2438,5.2438,14222,0
2005-10-31,5.3048,5.3353,5.221,5.2438,30526,0
2005-11-01,5.2743,5.3353,5.221,5.2438,22030,0
2005-11-02,5.3353,5.4192,5.3353,5.3582,21679,0
